"Nazwa firmy","Nazwa skrócona","Ulica, numer",Miasto,"Kod pocztowy","Osoby kontaktowe","Nowe województwo",Powiat,Gmina,"Stare województwo",Telefon(y),Fax(y),"Forma własności","Forma prawna",Email,WWW,Zatrudnienie,"Obrót roczny","Rok założenia","NACE (EKD)",SIC,"Opis działalności"
"Krawiectwo Ciężkie Fason",,"Rynek 4",Wągrowiec,62-514,"Witalis Hermański",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2660763,(67)2660763,prywatna,"zakład prywatny bez formy prawnej",,,5,,1980,"<span>18.22.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE18221%20produkcja%20plaszczy%20garniturow%20kostiumow%20zakietow%20swetrow%20spodnic%20umundurowania"">Produkcja płaszczy, garniturów, kostiumów, żakietów, swetrów, spódnic, umundurowania</a>","
<span>2311</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC2311%20garnitury%20plaszcze%20meskie%20produkcja"">Garnitury, płaszcze męskie, produkcja</a>
<span>2337</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC2337%20spodnice%20garsonki%20plaszcze%20damskie%20produkcja"">Spódnice, garsonki, płaszcze damskie, produkcja</a>
","


"
"Sklep Branży Przemysłowej Atlanta",Atlanta,"Rynek 5",Wągrowiec,62-234,"Piotr Kulpiński",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2665260,(67)2665260,prywatna,"zakład prywatny bez formy prawnej",,,,,1990,"
<span>52.41</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5241%20sprzedaz%20detaliczna%20wyrobow%20wlokienniczych"">Sprzedaż detaliczna wyrobów włókienniczych</a>
<span>52.48.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52483%20sprzedaz%20detaliczna%20tapet%20wykladzin%20podlogowych"">Sprzedaż detaliczna tapet, wykładzin podłogowych</a>
","
<span>594901</span>Sklepy z tkaninami
<span>571904</span>Dekoracje i akcesoria okienne, handel detaliczny
<span>5714</span>Sklepy z zasłonami i obiciami
<span>5713</span>Sklepy z dywanami i wykładzinami podłogowymi
",
"Dom Handlowy Panda S.C.","DH Panda S.C.","Rynek 6",Wągrowiec,62-732,"
Kamila Kuster-Kałmuczak
Monika Kuster
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2674279,(67)2674279,prywatna,"spółka cywilna",,,9,,1996,"
<span>52.42.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52421%20sprzedaz%20detaliczna%20odziezy"">Sprzedaż detaliczna odzieży</a>
<span>52.43.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52431%20sprzedaz%20detaliczna%20obuwia"">Sprzedaż detaliczna obuwia</a>
<span>52.43.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52432%20sprzedaz%20detaliczna%20wyrobow%20skorzanych"">Sprzedaż detaliczna wyrobów skórzanych</a>
","
<span>5651</span>Sklepy z odzieżą męską, damską i dziecięcą
<span>5661</span>Sklepy z obuwiem
<span>5948</span>Sklepy z torbami, walizkami i artykułami skórzanymi
","
odzież
obuwie
galanteria skórzana
"
"Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe HANIA Adam Marek","PPHU HANIA","Rynek 6",Wągrowiec,62-844,"Adam Marek",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2638334 (603)831534",,prywatna,"zakład prywatny bez formy prawnej","<a title=""@fotomarek.pl"">sklep</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.fotomarek.pl"">www.fotomarek.pl</a>",5,,2002,"
<span>74.81.1</span>Usługi fotograficzne dla ludności
<span>52.48.21</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524821%20sprzedaz%20detaliczna%20sprzetu%20fotograficznego"">Sprzedaż detaliczna sprzętu fotograficznego</a>
<span>74.81.3</span>Obróbka klisz fotograficznych i taśm filmowych
","
<span>7384</span>Laboratoria fotograficzne
<span>5946</span>Sklepy z artykułami fotograficznymi
","


"
"Przedsiębiorstwo Handlowo-Usługowe Nikiel","PHU Nikiel","Rynek 9",Wągrowiec,62-453,"Jolanta Nikiel",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2686180,,prywatna,"zakład prywatny bez formy prawnej",,,2,,1980,"<span>52.48.7</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52487%20sprzedaz%20detaliczna%20pamiatek%20znaczkow%20i%20monet"">Sprzedaż detaliczna pamiątek, znaczków i monet</a>","<span>5947</span>Sklepy z pamiątkami, upominkami i gadżetami","
upominki

"
"Towarzystwo Ubezpieczeń i Reasekuracji WARTA S.A. Przedstawicielstwo","TUiR WARTA S.A. Przedstawicielstwo","Rynek 11",Wągrowiec,62-844,"Monika Sankowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2665261 (806)368368",(67)2665261,prywatna,"spółka akcyjna",,"
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.warta.crm.pl"">www.warta.crm.pl</a>
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.warta.pl"">www.warta.pl</a>
",,,2000,"<span>66.03</span>Ubezpieczenia rzeczowe","<span>633102</span>Instytucje ubezpieczeniowe- mienia, transportowe, morskie",
"Kancelaria Radcy Prawnego",,"Rynek 12",Wągrowiec,62-233,"Łucja Wyrwicka",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2627225,(67)2627225,prywatna,"zakład prywatny bez formy prawnej","<a title=""@o2.pl"">lucja_wytwicka</a>",,1,,1992,"<span>74.11.3</span>Ogólne konsultacje i doradztwo prawne","<span>811101</span>Specjalistyczne usługi prawnicze",
"Zakłady Drobiarskie Koziegłowy Sp. z o.o. - Sklep Firmowy nr 18",,"Rynek 12",Wągrowiec,62-842,"kier. Zofia Januchowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2618212,(67)2618212,prywatna,"spółka z o.o.",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.zd-kozieglowy.pl"">www.zd-kozieglowy.pl</a>",5,,1993,"<span>52.22</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5222%20sprzedaz%20detaliczna%20miesa%20i%20wyrobow%20miesnych"">Sprzedaż detaliczna mięsa i wyrobów mięsnych</a>","<span>542102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC542102%20mieso%20swieze%20i%20mrozone%20handel%20detaliczny"">Mięso świeże i mrożone, handel detaliczny</a>","


"
"WIMCOM S.C. - Sklep Patronacki KompuTronik Sp. z o.o.",,"Rynek 13",Wągrowiec,62-513,"
Włodzimierz Kaszyński
Mariusz Małecki
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2658651,(67)2658651,prywatna,"spółka cywilna","<a title=""@komputronik.pl"">wagrowiec</a>","<a href=""http://sklep.komputronik.pl"">sklep.komputronik.pl</a>",,,2003,"<span>52.48.12</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524812%20sprzedaz%20detaliczna%20komputerow%20i%20sprzetu%20komputerowego"">Sprzedaż detaliczna komputerów i sprzętu komputerowego</a>","<span>5734</span>Sklepy komputerowe","


"
"Hurtownia Hurt-Bud Kamińscy",Hurt-Bud,"Rynek 14",Wągrowiec,62-952,"Agnieszka Kamińska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2676278,(67)2676278,prywatna,"zakład prywatny bez formy prawnej",,,3,,1992,"
<span>51.53</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5153%20sprzedaz%20hurtowa%20drewna%20i%20materialow%20budowlanych"">Sprzedaż hurtowa drewna i materiałów budowlanych</a>
<span>51.44.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51443%20sprzedaz%20hurtowa%20farb%20i%20lakierow"">Sprzedaż hurtowa farb i lakierów</a>
<span>52.46.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52462%20sprzedaz%20detaliczna%20farb%20politury%20lakierow"">Sprzedaż detaliczna farb, politury, lakierów</a>
","
<span>523102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC523102%20farby%20wyposazenie%20malarskie%20handel%20detaliczny"">Farby, wyposażenie malarskie, handel detaliczny</a>
<span>5039</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5039%20materialy%20budowlane%20osobno%20nie%20wymienione%20hurt"">Materiały budowlane, osobno nie wymienione, hurt</a>
","ta farby"
"Przedsiębiorstwo Handlowe Rena",Rena,"Rynek 17",Wągrowiec,62-622,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2641142 w. 46 4624854 w. 24","(67)2641142 w. 46 4624854 w. 24",prywatna,"zakład prywatny bez formy prawnej","
<a title=""@rena.pl"">rena</a>
<a title=""@pro.onet.pl"">sena</a>
","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.rena.pl"">www.rena.pl</a>",,,1986,"
<span>52.44.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52441%20sprzedaz%20detaliczna%20mebli%20i%20umeblowania"">Sprzedaż detaliczna mebli i umeblowania</a>
<span>52.44.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52442%20sprzedaz%20detaliczna%20sprzetu%20oswietleniowego"">Sprzedaż detaliczna sprzętu oświetleniowego</a>
<span>52.45.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52451%20sprzedaz%20detaliczna%20elektrycznych%20artykulow%20i%20sprzetu%20gospodarstwa%20domowego"">Sprzedaż detaliczna elektrycznych artykułów i sprzętu gospodarstwa domowego</a>
<span>51.53.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE51532%20sprzedaz%20hurtowa%20niedrewnianych%20materialow%20budowlanych"">Sprzedaż hurtowa niedrewnianych materiałów budowlanych</a>
<span>45.42.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45421%20instalowanie%20elementow%20stolarki%20budowlanej"">Instalowanie elementów stolarki budowlanej</a>
","
<span>5712</span>Sklepy meblowe
<span>571902</span>Lampy, oświetlenie, akcesoria, handel detaliczny
<span>5722</span>Sklepy ze zmechanizowanym sprzętem gospodarstwa domowego
<span>521102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC521102%20stolarka%20okienna%20i%20drzwiowa%20handel%20detaliczny"">Stolarka okienna i drzwiowa, handel detaliczny</a>
<span>175199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC175199%20ciesielstwo%20i%20stolarka%20budowlana%20osobno%20nie%20wymieniona"">Ciesielstwo i stolarka budowlana, osobno nie wymieniona</a>
","
meble
montaż paneli podłogowych

"
"Sklep Muzyczny Top-Hits",,"Rynek 19",Wągrowiec,62-844,"Franciszek Piasecki",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2667565,(67)2667565,prywatna,"zakład prywatny bez formy prawnej",,,1,,1991,"
<span>52.45.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52453%20sprzedaz%20detaliczna%20plyt%20i%20tasm%20z%20nagraniami%20muzycznymi%20i%20video"">Sprzedaż detaliczna płyt i taśm z nagraniami muzycznymi i video</a>
<span>52.48.55</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524855%20sprzedaz%20detaliczna%20gier%20i%20zabawek"">Sprzedaż detaliczna gier i zabawek</a>
","
<span>5735</span>Sklepy z płytami i nagraniami audio i video
<span>594502</span>Sklepy z zabawkami i grami
","
kasety, płyty
zabawki

"
"Kwiaciarnia ""Maranta""",,"Rynek 20",Wągrowiec,62-124,"Maria Szczepańska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2637436,,prywatna,"zakład prywatny bez formy prawnej",,,1,,,"<span>52.48.61</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524861%20sprzedaz%20detaliczna%20kwiatow%20sadzonek%20i%20nasion%20oraz%20nawozow"">Sprzedaż detaliczna kwiatów, sadzonek i nasion, oraz nawozów</a>",<span>5992</span>Kwiaciarnie,
"Firma Handlowa SZYSZKA - Sklep Odzieżowy","FH SZYSZKA - Sklep Odzieżowy","Rynek 23",Wągrowiec,62-622,"wł. Grzegorz Owczarzak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2670975,,prywatna,"zakład prywatny bez formy prawnej",,,5,,2001,"<span>52.42.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52421%20sprzedaz%20detaliczna%20odziezy"">Sprzedaż detaliczna odzieży</a>","<span>5651</span>Sklepy z odzieżą męską, damską i dziecięcą","


"
"Pizzeria MICOLO",,"Rynek 24",Wągrowiec,62-233,"Mirosław Jagat",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2650950,,prywatna,"zakład prywatny bez formy prawnej",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.micolo.pl"">www.micolo.pl</a>",10,,1997,<span>55.31</span>Restauracje,<span>581206</span>Pizzerie,"
dostawa na telefon

"
"Przedsiębiorstwo Handlowe Gama",,"Rynek 24",Wągrowiec,62-013,"Dorota Bilska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2655858 w. 53 (505)357754","(67)2655858 w. 58",prywatna,"zakład prywatny bez formy prawnej","<a title=""@op.pl"">gama</a>",,5,,1989,"
<span>52.42.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52421%20sprzedaz%20detaliczna%20odziezy"">Sprzedaż detaliczna odzieży</a>
<span>52.42.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52422%20sprzedaz%20detaliczna%20dodatkow%20do%20ubran"">Sprzedaż detaliczna dodatków do ubrań</a>
","
<span>5651</span>Sklepy z odzieżą męską, damską i dziecięcą
<span>5611</span>Sklepy z odzieżą i akcesoriami męskimi
<span>5632</span>Sklepy z akcesoriami damskimi
","


"
"Spółdzielcza Kasa Oszczędnościowo-Kredytowa im. Stefana Kardynała Wyszyńskiego - Oddział","SKOK im. Stefana Kardynała Wyszyńskiego - Oddział","Rynek 24",Wągrowiec,62-233,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2683088,,prywatna,spółdzielnia,,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.skokyyszynski.pl"">www.skokyyszynski.pl</a>",5,,2003,"<span>65.22</span>Udzielanie kredytów (innych niż pożyczki finansowe)","
<span>6036</span>Kasy oszczędnościowe nie gwarantowane przez Państwo
<span>6141</span>Udzielanie kredytów konsumpcyjnych dla ludności
",
"Usługi Ogólnobudowlane",,"Rzeczna 2",Wągrowiec,62-734,"Tadeusz Tomkowiak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2634931,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1992,"<span>45.21.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45211%20roboty%20ogolnobudowlane"">Roboty ogólnobudowlane</a>","<span>152101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC152101%20przebudowa%20domow%20remonty%20generalne"">Przebudowa domów, remonty generalne</a>","


"
El-Insbud,,"Rzeczna 4",Wągrowiec,62-512,"Eugeniusz Piechowiak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2675672 (667)775973",,prywatna,"zakład prywatny bez formy prawnej",,,1,,1992,"
<span>45.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE4531%20wykonywanie%20instalacji%20elektrycznych"">Wykonywanie instalacji elektrycznych</a>
<span>45.21.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45211%20roboty%20ogolnobudowlane"">Roboty ogólnobudowlane</a>
","
<span>1731</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC1731%20montaz%20instalacji%20i%20urzadzen%20elektrycznych"">Montaż instalacji i urządzeń elektrycznych</a>
<span>152101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC152101%20przebudowa%20domow%20remonty%20generalne"">Przebudowa domów, remonty generalne</a>
","


"
"Parafia Rzymsko-Katolicka p.w. Bł. Michała Kozala",,"Rzeczna 4a",Wągrowiec,62-733,"prob. Ks. Witold Chmielewski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2655855,,prywatna,"Kościół Katolicki","<a title=""@poczta.onet.pl"">witchmigl</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.kqzalwagrowiec.gnigzno.opoka.org.pl"">www.kqzalwagrowiec.gnigzno.opoka.org.pl</a>",2,,1989,"<span>91.31.11</span>Kościół katolicki -parafie","<span>866101</span>Kościoły i świątynie",
"Elektromechanika Pojazdowa",,"Rzeczna 11",Wągrowiec,62-014,"Marek Szelka",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2632737,,prywatna,"zakład prywatny bez formy prawnej",,,2,"200,000 zł.",1989,"<span>50.22.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE50222%20elektromechanika%20pojazdowa"">Elektromechanika pojazdowa</a>","<span>753903</span>Elektryk samochodowy",
"Kupno Sprzedaż Samochodów",,"Rzeczna 11",Wągrowiec,62-512,"Janusz Migas",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2610613,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1991,"<span>50.11.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE50112%20sprzedaz%20detaliczna%20pojazdow%20uzywanych"">Sprzedaż detaliczna pojazdów używanych</a>","<span>5521</span>Handel detaliczny używanymi pojazdami mechanicznymi",
"Instalatorstwo Elektryczne",,"Rzeczna 24",Wągrowiec,62-454,"
Robert Tyszer
Tadeusz Tyszer
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2663465,,prywatna,"zakład prywatny bez formy prawnej",,,2,,1990,"<span>45.31.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45311%20okablowanie%20i%20instalacja%20wyposazenia%20elektrycznego%20i%20aparatury%20elektrycznej"">Okablowanie i instalacja wyposażenia elektrycznego i aparatury elektrycznej</a>","<span>173101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC173101%20montaz%20instalacji%20elektrycznej"">Montaż instalacji elektrycznej</a>",
"Przedsiębiorstwo Handlowo-Usługowe Kolor","PHU Kolor","Rzeczna 31",Wągrowiec,62-234,"Krzysztof Piechowiak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(504)132231,,prywatna,"zakład prywatny bez formy prawnej",,,3,,1997,"
<span>50.22.5</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE50225%20lakiernictwo%20pojazdowe"">Lakiernictwo pojazdowe</a>
<span>50.43</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5043%20obsluga%20i%20naprawy%20motocykli%20i%20motorowerow"">Obsługa i naprawy motocykli i motorowerów</a>
<span>50.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5011%20sprzedaz%20pojazdow%20mechanicznych%20lacznie%20z%20pojazdami%20specjalistycznymi%20przyczepami%20naczepami"">Sprzedaż pojazdów mechanicznych łącznie z pojazdami specjalistycznymi, przyczepami, naczepami</a>
","
<span>753204</span>Naprawa blacharki, lakiernictwo samochodowe
<span>769924</span>Naprawy motoryzacyjne
<span>5511</span>Handel detaliczny pojazdami mechanicznymi
","
lakiernictwo
naprawa motocykli
handel samochodami

"
"ANTYKI Robert Tyszer",,"Rzeczna 32",Wągrowiec,62-122,"Robert Tyszer",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2646048,,prywatna,"zakład prywatny bez formy prawnej","<a title=""@wp.pl"">rokaty</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.rolaty.prv.pl"">www.rolaty.prv.pl</a>",,,,"
<span>52.71.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52712%20naprawy%20wyrobow%20skorzanych%20z%20wyjatkiem%20obuwia"">Naprawy wyrobów skórzanych (z wyjątkiem obuwia)</a>
<span>92.52.5</span>Ochrona zabytków
<span>52.44.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52441%20sprzedaz%20detaliczna%20mebli%20i%20umeblowania"">Sprzedaż detaliczna mebli i umeblowania</a>
","
<span>764102</span>Naprawa i konserwacja mebli
<span>7641</span>Naprawa mebli i tapicerki
<span>571299</span>Sklepy meblowe, osobno nie wymienione
","
renowacja mebli zabytkowych
kupno mebli do renowacji

"
"Przedsiębiorstwo Wielobranżowe Stalbud - Zakład Produkcyjny",,"Rzeczna 35",Wągrowiec,62-123,"wł. inż. Andrzej Tomczak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2655950 (505)955950",(67)2659150,prywatna,"zakład prywatny bez formy prawnej","<a title=""@parkany.pl"">parkany</a>","
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.parkcny.pl"">www.parkcny.pl</a>
<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.utalinox.pl"">www.utalinox.pl</a>
",,,1996,"
<span>28.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE281%20produkcja%20metalowych%20elementow%20konstrukcyjnych"">Produkcja metalowych elementów konstrukcyjnych</a>
<span>28.41</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2841%20kucie%20prasowanie%20wytlaczanie%20walcowanie%20metali"">Kucie, prasowanie, wytłaczanie, walcowanie metali</a>
<span>28.52.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE28522%20spawanie%20szlifowanie%20i%20inne%20specjalistyczne%20operacje%20wykonywane%20na%20metalu"">Spawanie, szlifowanie i inne specjalistyczne operacje wykonywane na metalu</a>
","
<span>769912</span>Kowalstwo, pokrywanie i konserwacja przedmiotów z metalu
<span>344603</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC344603%20ploty%20bramy%20slupki%20maszty%20produkcja"">Płoty, bramy, słupki, maszty, produkcja</a>
<span>344601</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC344601%20schody%20balustrady%20drabinki%20produkcja"">Schody, balustrady, drabinki, produkcja</a>
","
Adres siedziby: Bobrownicka 32c/4 62-100 Wągrowiec

"
"Szkoła Podstawowa im. ks. Jakuba Wujka",,"Sienno 27",Wągrowiec,62-952,"dyr. Małgorzata Jazgar",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2670679,,komunalna,"gminna samorządowa jednostka organizacyjna",,,12,,1945,"
<span>80.12</span>Szkoły podstawowe
<span>80.11</span>Wychowanie przedszkolne
","
<span>821103</span>Szkoły podstawowe i średnie publiczne
<span>8351</span>Żłobki i przedszkola
","


"
"BIS-BEL - Stacja Paliw",,"Skocha 2",Wągrowiec,62-513,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2655251,,prywatna,"zakład prywatny bez formy prawnej",,,,,,"
<span>50.31</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5031%20sprzedaz%20hurtowa%20i%20detaliczna%20czesci%20i%20akcesoriow%20do%20pojazdow%20mechanicznych"">Sprzedaż hurtowa i detaliczna części i akcesoriów do pojazdów mechanicznych</a>
<span>50.5</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE505%20sprzedaz%20detaliczna%20paliw%20do%20pojazdow%20samochodowych"">Sprzedaż detaliczna paliw do pojazdów samochodowych</a>
","
<span>5531</span>Części i wyposażenie samochodowe, handel detaliczny
<span>5541</span>Stacje benzynowe
","


"
"MPGK Sp. z o.o.",,"Skocka 13",Wągrowiec,62-733,"Michał Fiedosiuk",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2651352,(67)2651353,prywatna,"spółka z o.o.","<a title=""@wp.pl"">mpgk.wagrowiec</a>",,,,1999,"
<span>45.21.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE452133%20budowa%20rurociagow%20przesylowych%20i%20miejskiej%20sieci%20rurociagowej"">Budowa rurociągów przesyłowych i miejskiej sieci rurociągowej</a>
<span>45.23.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45231%20budowa%20autostrad%20ulic%20placow%20drog%20oraz%20innych%20traktow%20komunikacyjnych"">Budowa autostrad, ulic, placów, dróg oraz innych traktów komunikacyjnych</a>
<span>45.21.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45211%20roboty%20ogolnobudowlane"">Roboty ogólnobudowlane</a>
<span>50.51</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5051%20sprzedaz%20detaliczna%20paliw%20do%20pojazdow%20samochodowych%20i%20motocykli"">Sprzedaż detaliczna paliw do pojazdów samochodowych i motocykli</a>
","
<span>162905</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC162905%20budowa%20instalacji%20przemyslowych"">Budowa instalacji przemysłowych</a>
<span>171199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC171199%20zakladanie%20instalacji%20hydraulicznych%20i%20ogrzewania%20osobno%20nie%20wymienione"">Zakładanie instalacji hydraulicznych i ogrzewania, osobno nie wymienione</a>
<span>162303</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC162303%20budowa%20wodociagow%20i%20kanalizacji"">Budowa wodociągów i kanalizacji</a>
<span>161102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC161102%20budowa%20nawierzchni%20drog"">Budowa nawierzchni dróg</a>
<span>152101</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC152101%20przebudowa%20domow%20remonty%20generalne"">Przebudowa domów, remonty generalne</a>
<span>5541</span>Stacje benzynowe
",
